Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v1/health,1,0,2.305636997334659,2.305636997334659,2.305636997334659,2.305636997334659,53.0,0.11101103902798008,0.0,2,2,2,2,2,2,2,2,2,2,2
POST,/v1/transcribe,112,0,1,2.3245565659765686,0.5301620112732053,31.82943700812757,40.285714285714285,12.43323637113377,0.0,1,1,1,1,5,14,15,23,32,32,32
WebSocket,audio_chunk,822,0,51,51.448289280612286,49.26309990696609,79.88433400169015,35.113138686131386,91.25107408099963,0.0,51,51,51,51,52,58,63,72,80,80,80
WebSocket,connect,9,0,2,2.169690987405678,1.243559061549604,3.9983849273994565,0.0,0.9990993512518208,0.0,2,2,3,4,4,4,4,4,4,4,4
WebSocket,session_complete,2,0,51.32878279137249,51.50076457194564,51.32878279137249,51.67274635251878,86.0,0.22202207805596016,0.0,52,52,52,52,52,52,52,52,52,52,52
,Aggregated,946,0,50,45.11171089754815,0.5301620112732053,79.88433400169015,35.51797040169133,105.01644292046916,0.0,50,51,51,51,52,57,63,72,80,80,80
